mode,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bandwidth_bytes
stack_b,1,2026-04-25T17:31:53,6.2254,0.0,0.0,198
stack_b,2,2026-04-25T17:32:10,6.3083,0.0,0.0,411
stack_b,3,2026-04-25T17:32:28,6.1637,0.0,0.0,411
stack_b,4,2026-04-25T17:32:45,6.2295,0.0,0.0,411
stack_b,5,2026-04-25T17:33:02,6.1527,0.0,0.0,411
stack_b,6,2026-04-25T17:33:20,6.2439,0.0,0.0,411
stack_b,7,2026-04-25T17:33:37,6.162,0.0,0.0,411
stack_b,8,2026-04-25T17:33:55,6.2466,0.0,0.0,411
stack_b,9,2026-04-25T17:34:12,6.194,0.0,0.0,411
stack_b,10,2026-04-25T17:34:29,6.205,0.0,0.0,411
stack_b,11,2026-04-25T17:34:47,6.2075,0.0,0.0,411
stack_b,12,2026-04-25T17:35:04,6.2364,0.0,0.0,411
stack_b,13,2026-04-25T17:35:22,6.2456,0.0,0.0,411
stack_b,14,2026-04-25T17:35:39,6.1993,0.0,0.0,411
stack_b,15,2026-04-25T17:35:57,6.2987,0.0,0.0,411
stack_b,16,2026-04-25T17:36:14,6.2146,0.0,0.0,411
stack_b,17,2026-04-25T17:36:31,6.1946,0.0,0.0,411
stack_b,18,2026-04-25T17:36:49,6.2038,0.0,0.0,411
stack_b,19,2026-04-25T17:37:06,6.286,0.0,0.0,411
stack_b,20,2026-04-25T17:37:24,6.2032,0.0,0.0,411
stack_b,21,2026-04-25T17:37:41,6.203,0.0,0.0,411
stack_b,22,2026-04-25T17:37:58,6.21,0.0,0.0,411
stack_b,23,2026-04-25T17:38:16,6.2478,0.0,0.0,411
stack_b,24,2026-04-25T17:38:33,6.2541,0.0,0.0,411
stack_b,25,2026-04-25T17:38:51,6.1127,0.0,0.0,411
stack_b,26,2026-04-25T17:39:08,6.2126,0.0,0.0,411
stack_b,27,2026-04-25T17:39:25,6.2171,0.0,0.0,411
stack_b,28,2026-04-25T17:39:43,6.194,0.0,0.0,411
stack_b,29,2026-04-25T17:40:00,6.2017,0.0,0.0,411
stack_b,30,2026-04-25T17:40:17,6.2049,0.0,0.0,411
stack_b,31,2026-04-25T17:40:35,6.2009,0.0,0.0,411
stack_b,32,2026-04-25T17:40:52,6.2467,0.0,0.0,411
stack_b,33,2026-04-25T17:41:10,6.1605,0.0,0.0,411
stack_b,34,2026-04-25T17:41:27,6.2174,0.0,0.0,411
stack_b,35,2026-04-25T17:41:44,6.2677,0.0,0.0,411
stack_b,36,2026-04-25T17:42:02,6.2138,0.0,0.0,411
stack_b,37,2026-04-25T17:42:19,6.2201,0.0,0.0,411
stack_b,38,2026-04-25T17:42:37,6.2023,0.0,0.0,411
stack_b,39,2026-04-25T17:42:54,6.152,0.0,0.0,411
stack_b,40,2026-04-25T17:43:11,6.1582,0.0,0.0,411
stack_b,41,2026-04-25T17:43:29,6.2709,0.0,0.0,411
stack_b,42,2026-04-25T17:43:46,6.1995,0.0,0.0,411
stack_b,43,2026-04-25T17:44:04,6.1417,0.0,0.0,411
stack_b,44,2026-04-25T17:44:21,6.2584,0.0,0.0,411
stack_b,45,2026-04-25T17:44:38,6.2005,0.0,0.0,411
stack_b,46,2026-04-25T17:44:56,6.2628,0.0,0.0,411
stack_b,47,2026-04-25T17:45:13,6.2551,0.0,0.0,411
stack_b,48,2026-04-25T17:45:31,6.1898,0.0,0.0,411
stack_b,49,2026-04-25T17:45:48,6.2512,0.0,0.0,411
stack_b,50,2026-04-25T17:46:05,6.1572,0.0,0.0,411
stack_b,51,2026-04-25T17:46:23,6.2394,0.0,0.0,411
stack_b,52,2026-04-25T17:46:40,6.265,0.0,0.0,411
stack_b,53,2026-04-25T17:46:58,6.2171,0.0,0.0,411
stack_b,54,2026-04-25T17:47:15,6.2214,0.0,0.0,411
stack_b,55,2026-04-25T17:47:33,6.2007,0.0,0.0,411
stack_b,56,2026-04-25T17:47:50,6.2463,0.0,0.0,411
stack_b,57,2026-04-25T17:48:08,6.1585,0.0,0.0,411
stack_b,58,2026-04-25T17:48:25,6.2347,0.0,0.0,411
stack_b,59,2026-04-25T17:48:42,6.2654,0.0,0.0,411
stack_b,60,2026-04-25T17:49:00,6.1861,0.0,0.0,411
stack_b,61,2026-04-25T17:49:17,6.2028,0.0,0.0,411
stack_b,62,2026-04-25T17:49:35,6.1653,0.0,0.0,411
stack_b,63,2026-04-25T17:49:52,6.1652,0.0,0.0,411
stack_b,64,2026-04-25T17:50:09,6.2252,0.0,0.0,411
stack_b,65,2026-04-25T17:50:27,6.271,0.0,0.0,411
stack_b,66,2026-04-25T17:50:44,6.2776,0.0,0.0,411
stack_b,67,2026-04-25T17:51:01,6.2441,0.0,0.0,411
stack_b,68,2026-04-25T17:51:19,6.207,0.0,0.0,411
stack_b,69,2026-04-25T17:51:36,6.2007,0.0,0.0,411
