mode,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bandwidth_bytes
stack_b_client1,1,2026-04-25T19:57:09,25.2795,0.86,43.86,1456
stack_b_client1,2,2026-04-25T19:57:47,5.5683,1.26,46.48,1453
stack_b_client1,3,2026-04-25T19:58:06,5.5689,1.07,46.48,1454
stack_b_client1,4,2026-04-25T19:58:24,5.566,1.45,46.48,1457
stack_b_client1,5,2026-04-25T19:58:42,5.5567,1.45,46.48,1454
stack_b_client1,6,2026-04-25T19:59:00,5.5748,1.98,46.48,1455
stack_b_client1,7,2026-04-25T19:59:19,5.5572,1.27,46.48,1456
stack_b_client1,8,2026-04-25T19:59:37,5.5695,1.45,46.48,1451
stack_b_client1,9,2026-04-25T19:59:55,5.5466,0.91,46.48,1456
stack_b_client1,10,2026-04-25T20:00:13,5.5796,1.45,46.48,1458
stack_b_client1,11,2026-04-25T20:00:31,5.5642,0.73,46.48,1455
stack_b_client1,12,2026-04-25T20:00:50,5.5514,1.45,46.48,1453
stack_b_client1,13,2026-04-25T20:01:07,5.575,1.27,46.48,1454
stack_b_client1,14,2026-04-25T20:01:25,5.5457,1.27,46.48,1458
stack_b_client1,15,2026-04-25T20:01:44,5.5909,2.16,46.48,1450
stack_b_client1,16,2026-04-25T20:02:02,5.5582,0.55,46.48,1456
stack_b_client1,17,2026-04-25T20:02:20,5.5653,0.91,46.48,1456
stack_b_client1,18,2026-04-25T20:02:38,5.557,0.9,46.48,1455
stack_b_client1,19,2026-04-25T20:02:56,5.5459,1.09,46.48,1457
stack_b_client1,20,2026-04-25T20:03:15,5.7339,3.13,46.48,1454
stack_b_client1,21,2026-04-25T20:03:33,5.5532,0.91,46.48,1455
stack_b_client1,22,2026-04-25T20:03:51,5.5639,0.55,46.48,1455
