mode,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bandwidth_bytes
stack_b,1,2026-04-25T19:56:32,65.1517,0.28,41.53,2951
stack_b,2,2026-04-25T19:57:47,8.0786,0.99,41.95,3164
stack_b,3,2026-04-25T19:58:06,8.0833,0.75,42.07,3163
stack_b,4,2026-04-25T19:58:24,8.0566,0.62,42.07,3163
stack_b,5,2026-04-25T19:58:42,8.0817,0.75,42.07,3164
stack_b,6,2026-04-25T19:59:00,8.0684,0.62,42.07,3164
stack_b,7,2026-04-25T19:59:19,8.0761,1.12,42.07,3164
stack_b,8,2026-04-25T19:59:37,8.117,1.87,42.07,3163
stack_b,9,2026-04-25T19:59:55,8.0703,0.62,42.08,3164
stack_b,10,2026-04-25T20:00:13,8.1008,1.12,42.2,3164
stack_b,11,2026-04-25T20:00:31,8.0761,0.87,42.2,3164
stack_b,12,2026-04-25T20:00:50,7.5772,0.93,42.2,3164
stack_b,13,2026-04-25T20:01:07,8.0835,1.0,42.2,3164
stack_b,14,2026-04-25T20:01:25,8.1006,3.22,42.2,3164
stack_b,15,2026-04-25T20:01:44,8.1133,1.49,42.2,3164
stack_b,16,2026-04-25T20:02:02,8.081,0.75,42.2,3164
stack_b,17,2026-04-25T20:02:20,8.0825,0.88,42.2,3164
stack_b,18,2026-04-25T20:02:38,8.0921,0.99,42.2,3164
stack_b,19,2026-04-25T20:02:56,8.0704,0.75,42.2,3164
stack_b,20,2026-04-25T20:03:15,8.1909,1.64,42.2,3164
stack_b,21,2026-04-25T20:03:33,8.0639,0.62,42.2,3164
