node_label,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bw_tx_bytes,bw_rx_bytes,bw_total_bytes
secagg_stackA_client_client2,1,2026-04-26T10:03:56,26.7247,0.3,47.6,1456,1439,2895
secagg_stackA_client_client2,2,2026-04-26T10:04:36,5.5512,0.73,50.45,1454,1653,3107
secagg_stackA_client_client2,3,2026-04-26T10:04:54,5.5522,0.73,50.48,1458,1653,3111
secagg_stackA_client_client2,4,2026-04-26T10:05:12,5.5594,0.18,50.5,1455,1652,3107
secagg_stackA_client_client2,5,2026-04-26T10:05:30,5.5438,0.55,50.52,1457,1653,3110
secagg_stackA_client_client2,6,2026-04-26T10:05:48,5.5505,0.73,48.74,1456,1652,3108
secagg_stackA_client_client2,7,2026-04-26T10:06:06,5.5567,0.91,48.74,1456,1652,3108
secagg_stackA_client_client2,8,2026-04-26T10:06:24,5.5588,0.91,48.75,1454,1652,3106
secagg_stackA_client_client2,9,2026-04-26T10:06:43,5.5524,0.55,31.15,1452,1652,3104
secagg_stackA_client_client2,10,2026-04-26T10:07:01,5.5482,0.91,31.15,1454,1653,3107
secagg_stackA_client_client2,11,2026-04-26T10:07:19,5.5605,0.91,30.27,1456,1652,3108
secagg_stackA_client_client2,12,2026-04-26T10:07:37,5.5508,0.73,30.27,1452,1652,3104
secagg_stackA_client_client2,13,2026-04-26T10:07:55,5.5491,0.91,30.28,1456,1652,3108
secagg_stackA_client_client2,14,2026-04-26T10:08:13,5.5557,0.73,30.12,1457,1652,3109
secagg_stackA_client_client2,15,2026-04-26T10:08:31,5.5483,0.73,30.14,1453,1652,3105
secagg_stackA_client_client2,16,2026-04-26T10:08:50,5.5505,0.73,30.14,1456,1652,3108
secagg_stackA_client_client2,17,2026-04-26T10:09:08,5.5553,0.55,30.14,1456,1652,3108
secagg_stackA_client_client2,18,2026-04-26T10:09:26,5.5475,0.91,30.14,1449,1652,3101
secagg_stackA_client_client2,19,2026-04-26T10:09:44,5.559,0.91,30.14,1456,1652,3108
secagg_stackA_client_client2,20,2026-04-26T10:10:02,5.5472,0.73,30.14,1455,1652,3107
secagg_stackA_client_client2,21,2026-04-26T10:10:20,5.5438,0.73,30.05,1458,1652,3110
secagg_stackA_client_client2,22,2026-04-26T10:10:38,5.5536,0.55,30.06,1454,1652,3106
secagg_stackA_client_client2,23,2026-04-26T10:10:56,5.5483,0.55,30.06,1455,1652,3107
secagg_stackA_client_client2,24,2026-04-26T10:11:14,5.5564,0.55,30.06,1457,1652,3109
secagg_stackA_client_client2,25,2026-04-26T10:11:32,5.5534,0.73,30.07,1456,1652,3108
secagg_stackA_client_client2,26,2026-04-26T10:11:51,5.5487,0.91,30.18,1457,1652,3109
secagg_stackA_client_client2,27,2026-04-26T10:12:08,5.5582,0.73,30.19,1454,1652,3106
secagg_stackA_client_client2,28,2026-04-26T10:12:26,5.5506,0.73,30.19,1455,1652,3107
secagg_stackA_client_client2,29,2026-04-26T10:12:45,5.5363,0.55,30.2,1456,1652,3108
secagg_stackA_client_client2,30,2026-04-26T10:13:03,5.549,0.55,30.31,1456,1652,3108
secagg_stackA_client_client2,31,2026-04-26T10:13:21,5.5449,0.73,30.33,1454,1652,3106
secagg_stackA_client_client2,32,2026-04-26T10:13:39,5.556,0.55,30.33,1454,1652,3106
secagg_stackA_client_client2,33,2026-04-26T10:13:57,5.5611,0.55,30.32,1457,1652,3109
secagg_stackA_client_client2,34,2026-04-26T10:14:15,5.5501,0.73,30.23,1456,1652,3108
secagg_stackA_client_client2,35,2026-04-26T10:14:33,5.5541,0.55,30.23,1454,1652,3106
secagg_stackA_client_client2,36,2026-04-26T10:14:51,5.5482,0.36,30.14,1455,1652,3107
secagg_stackA_client_client2,37,2026-04-26T10:15:09,5.5495,0.73,30.14,1456,1652,3108
secagg_stackA_client_client2,38,2026-04-26T10:15:27,5.5544,0.73,30.15,1456,1652,3108
secagg_stackA_client_client2,39,2026-04-26T10:15:46,5.5578,0.73,30.13,1454,1652,3106
secagg_stackA_client_client2,40,2026-04-26T10:16:04,5.5511,0.55,30.13,1455,1652,3107
