mode,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bandwidth_bytes
stack_b_client2,1,2026-04-25T19:56:32,62.6773,0.43,43.55,1454
stack_b_client2,2,2026-04-25T19:57:47,5.5683,1.64,46.34,1458
stack_b_client2,3,2026-04-25T19:58:06,5.5612,1.08,46.34,1457
stack_b_client2,4,2026-04-25T19:58:24,5.5685,1.26,46.34,1452
stack_b_client2,5,2026-04-25T19:58:42,5.5614,1.45,46.34,1455
stack_b_client2,6,2026-04-25T19:59:00,5.5773,2.15,46.34,1456
stack_b_client2,7,2026-04-25T19:59:18,5.5989,1.09,46.34,1457
stack_b_client2,8,2026-04-25T19:59:37,5.56,1.63,46.34,1457
stack_b_client2,9,2026-04-25T19:59:55,5.5523,1.08,46.34,1456
stack_b_client2,10,2026-04-25T20:00:13,5.5815,1.27,46.34,1453
stack_b_client2,11,2026-04-25T20:00:31,5.5662,0.73,46.34,1457
stack_b_client2,12,2026-04-25T20:00:50,5.5677,1.45,46.34,1455
stack_b_client2,13,2026-04-25T20:01:07,5.5644,1.98,46.34,1456
stack_b_client2,14,2026-04-25T20:01:25,5.5639,1.26,46.34,1457
stack_b_client2,15,2026-04-25T20:01:44,5.5948,1.97,46.34,1456
stack_b_client2,16,2026-04-25T20:02:02,5.5629,0.73,46.34,1456
stack_b_client2,17,2026-04-25T20:02:20,5.5571,0.73,46.34,1456
stack_b_client2,18,2026-04-25T20:02:38,5.5586,0.91,46.34,1451
stack_b_client2,19,2026-04-25T20:02:56,5.5555,1.45,46.34,1457
stack_b_client2,20,2026-04-25T20:03:15,5.7313,2.28,46.34,1455
stack_b_client2,21,2026-04-25T20:03:33,5.5597,0.73,46.34,1457
stack_b_client2,22,2026-04-25T20:03:51,5.563,1.08,46.34,1457
