secagg_stackA_client_client3,4,2026-04-28T09:51:21,4.0453,30.3,224.18,1640,1965,3605
secagg_stackA_client_client3,5,2026-04-28T09:56:28,4.0587,39.61,222.55,1643,1962,3605
secagg_stackA_client_client3,6,2026-04-28T10:01:34,4.0459,35.81,222.63,1642,1962,3604
secagg_stackA_client_client3,7,2026-04-28T10:06:41,4.0431,33.24,222.59,1640,1965,3605
secagg_stackA_client_client3,8,2026-04-28T10:11:48,4.0568,56.29,222.53,1639,1963,3602
secagg_stackA_client_client3,9,2026-04-28T10:16:55,4.5452,40.41,222.33,1640,1964,3604
secagg_stackA_client_client3,10,2026-04-28T10:22:02,4.5483,52.68,222.43,1647,1969,3616
secagg_stackA_client_client3,11,2026-04-28T10:27:09,4.0489,43.33,222.74,1646,1965,3611
secagg_stackA_client_client3,12,2026-04-28T10:32:16,4.5272,39.04,222.5,1641,1963,3604
secagg_stackA_client_client3,13,2026-04-28T10:37:23,4.0466,40.24,222.69,1641,1962,3603
secagg_stackA_client_client3,14,2026-04-28T10:42:30,4.0446,36.79,222.72,1638,1960,3598
secagg_stackA_client_client3,15,2026-04-28T10:47:36,4.0313,42.88,224.43,1645,1963,3608
secagg_stackA_client_client3,16,2026-04-28T10:52:43,4.0358,48.96,222.67,1641,1971,3612
secagg_stackA_client_client3,17,2026-04-28T10:59:08,4.5657,41.38,224.44,1646,1967,3613
