node_label,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bw_tx_bytes,bw_rx_bytes,bw_total_bytes
secagg_stackA_client_client1,1,2026-04-26T10:03:42,41.3526,0.27,45.71,1452,1439,2891
secagg_stackA_client_client1,2,2026-04-26T10:04:36,5.5518,1.09,48.68,1457,1653,3110
secagg_stackA_client_client1,3,2026-04-26T10:04:54,5.5436,0.73,48.72,1454,1653,3107
secagg_stackA_client_client1,4,2026-04-26T10:05:12,5.5616,0.55,48.73,1456,1652,3108
secagg_stackA_client_client1,5,2026-04-26T10:05:30,5.5586,0.73,48.74,1456,1653,3109
secagg_stackA_client_client1,6,2026-04-26T10:05:48,5.5552,0.73,46.94,1456,1652,3108
secagg_stackA_client_client1,7,2026-04-26T10:06:06,5.5536,0.73,46.94,1455,1652,3107
secagg_stackA_client_client1,8,2026-04-26T10:06:24,5.5568,0.91,46.95,1456,1652,3108
secagg_stackA_client_client1,9,2026-04-26T10:06:43,5.5521,0.91,29.31,1455,1652,3107
secagg_stackA_client_client1,10,2026-04-26T10:07:01,5.545,0.91,29.31,1456,1653,3109
secagg_stackA_client_client1,11,2026-04-26T10:07:19,5.565,1.09,28.43,1456,1652,3108
secagg_stackA_client_client1,12,2026-04-26T10:07:37,5.5506,0.55,28.43,1455,1652,3107
secagg_stackA_client_client1,13,2026-04-26T10:07:55,5.5509,0.73,28.44,1453,1652,3105
secagg_stackA_client_client1,14,2026-04-26T10:08:13,5.5537,0.9,28.64,1456,1652,3108
secagg_stackA_client_client1,15,2026-04-26T10:08:31,5.5487,0.91,28.73,1453,1652,3105
secagg_stackA_client_client1,16,2026-04-26T10:08:50,5.556,0.55,28.73,1453,1652,3105
secagg_stackA_client_client1,17,2026-04-26T10:09:08,5.5529,0.55,28.73,1453,1652,3105
secagg_stackA_client_client1,18,2026-04-26T10:09:26,5.5506,0.55,28.75,1455,1652,3107
secagg_stackA_client_client1,19,2026-04-26T10:09:44,5.5591,0.55,28.75,1456,1652,3108
secagg_stackA_client_client1,20,2026-04-26T10:10:02,5.5475,0.73,28.75,1455,1652,3107
secagg_stackA_client_client1,21,2026-04-26T10:10:20,5.5459,0.55,28.27,1454,1652,3106
secagg_stackA_client_client1,22,2026-04-26T10:10:38,5.5543,0.55,28.27,1454,1652,3106
secagg_stackA_client_client1,23,2026-04-26T10:10:56,5.5527,0.55,28.27,1455,1652,3107
secagg_stackA_client_client1,24,2026-04-26T10:11:14,5.5559,0.91,28.23,1454,1652,3106
secagg_stackA_client_client1,25,2026-04-26T10:11:32,5.5529,0.55,28.24,1453,1652,3105
secagg_stackA_client_client1,26,2026-04-26T10:11:51,5.5485,0.55,28.35,1457,1652,3109
secagg_stackA_client_client1,27,2026-04-26T10:12:08,5.5595,0.91,28.35,1456,1652,3108
secagg_stackA_client_client1,28,2026-04-26T10:12:26,5.5551,0.73,28.35,1455,1652,3107
secagg_stackA_client_client1,29,2026-04-26T10:12:45,5.5369,0.73,28.36,1458,1652,3110
secagg_stackA_client_client1,30,2026-04-26T10:13:03,5.5491,0.73,28.47,1456,1652,3108
secagg_stackA_client_client1,31,2026-04-26T10:13:21,5.5489,0.73,28.48,1456,1652,3108
secagg_stackA_client_client1,32,2026-04-26T10:13:39,5.5568,0.55,28.48,1455,1652,3107
secagg_stackA_client_client1,33,2026-04-26T10:13:57,5.5595,0.73,28.48,1451,1652,3103
secagg_stackA_client_client1,34,2026-04-26T10:14:15,5.5487,0.73,28.39,1458,1652,3110
secagg_stackA_client_client1,35,2026-04-26T10:14:33,5.5526,0.73,28.39,1454,1652,3106
secagg_stackA_client_client1,36,2026-04-26T10:14:51,5.565,0.55,28.31,1456,1652,3108
secagg_stackA_client_client1,37,2026-04-26T10:15:09,5.5505,0.55,28.31,1457,1652,3109
secagg_stackA_client_client1,38,2026-04-26T10:15:27,5.5552,0.55,28.31,1454,1652,3106
secagg_stackA_client_client1,39,2026-04-26T10:15:46,5.5592,0.91,28.28,1456,1652,3108
secagg_stackA_client_client1,40,2026-04-26T10:16:04,5.5475,0.55,28.28,1452,1652,3104
secagg_stackA_client_client1,41,2026-04-26T10:16:22,5.5383,0.73,28.29,1456,1652,3108
secagg_stackA_client_client1,42,2026-04-26T10:16:40,5.5544,0.55,28.3,1456,1652,3108
secagg_stackA_client_client1,43,2026-04-26T10:16:58,5.5508,0.73,28.31,1456,1652,3108
secagg_stackA_client_client1,44,2026-04-26T10:17:16,5.5549,0.91,28.32,1452,1652,3104
secagg_stackA_client_client1,45,2026-04-26T10:17:33,5.5516,0.55,28.32,1455,1652,3107
secagg_stackA_client_client1,46,2026-04-26T10:17:52,5.5488,0.73,28.39,1457,1652,3109
secagg_stackA_client_client1,47,2026-04-26T10:18:10,5.5523,0.91,28.4,1456,1652,3108
secagg_stackA_client_client1,48,2026-04-26T10:18:28,5.5542,0.91,28.44,1455,1652,3107
secagg_stackA_client_client1,49,2026-04-26T10:18:46,5.5494,0.73,28.45,1458,1652,3110
secagg_stackA_client_client1,50,2026-04-26T10:19:04,5.541,0.91,28.55,1453,1652,3105
secagg_stackA_client_client1,51,2026-04-26T10:19:22,5.5531,0.55,28.48,1454,1652,3106
secagg_stackA_client_client1,52,2026-04-26T10:19:41,5.5583,0.91,28.48,1457,1652,3109
secagg_stackA_client_client1,53,2026-04-26T10:19:58,5.5505,0.55,28.49,1453,1652,3105
secagg_stackA_client_client1,54,2026-04-26T10:20:16,5.5529,0.55,28.49,1454,1652,3106
secagg_stackA_client_client1,55,2026-04-26T10:20:34,5.5522,0.55,28.49,1456,1652,3108
secagg_stackA_client_client1,56,2026-04-26T10:20:53,5.5502,0.73,28.42,1457,1652,3109
secagg_stackA_client_client1,57,2026-04-26T10:21:11,5.5398,0.73,28.43,1456,1652,3108
secagg_stackA_client_client1,58,2026-04-26T10:21:28,5.5441,0.73,28.44,1451,1652,3103
secagg_stackA_client_client1,59,2026-04-26T10:21:47,5.5492,0.73,28.43,1455,1652,3107
secagg_stackA_client_client1,60,2026-04-26T10:22:05,5.5646,1.08,28.49,1456,1652,3108
secagg_stackA_client_client1,61,2026-04-26T10:22:23,5.5443,0.55,28.49,1454,1652,3106
secagg_stackA_client_client1,62,2026-04-26T10:22:41,5.5557,0.36,28.55,1455,1652,3107
secagg_stackA_client_client1,63,2026-04-26T10:22:59,5.5543,0.73,28.56,1456,1652,3108
secagg_stackA_client_client1,64,2026-04-26T10:23:17,5.5449,0.73,28.54,1457,1652,3109
secagg_stackA_client_client1,65,2026-04-26T10:23:35,5.5604,0.55,28.54,1454,1652,3106
secagg_stackA_client_client1,66,2026-04-26T10:23:53,5.5495,0.55,28.48,1456,1652,3108
secagg_stackA_client_client1,67,2026-04-26T10:24:11,5.5522,0.73,28.48,1455,1652,3107
secagg_stackA_client_client1,68,2026-04-26T10:24:29,5.5377,0.73,28.45,1454,1652,3106
